"date","longest_idle_time","step_count","active_time","calorie"
2018-06-05,5.6,2740,0.472298888888889,114.76999
2018-06-04,6.46666666666667,12866,2.22044861111111,564.30804
2018-06-03,4.28333333333333,7676,1.36498138888889,324.01987
2018-06-02,4.63333333333333,6789,1.22319305555556,287.9399
2018-06-01,5.5,6527,1.15554083333333,274.69992
2018-05-31,5.5,7501,1.34573861111111,320.51996
2018-05-30,5.66666666666667,6351,1.08633805555556,296.66992
2018-05-29,6.06666666666667,6701,1.18838472222222,280.47995
2018-05-28,6.76666666666667,8552,1.44160083333333,355.31006
2018-05-27,7.56666666666667,2425,0.436995277777778,126.74999
2018-05-26,9.13333333333333,2584,0.416238055555556,118.37
2018-05-25,6.13333333333333,5578,1.00128138888889,236.23996
2018-05-24,8.3,8842,1.47313861111111,421.96854
2018-05-23,7.1,2991,0.536199166666667,133.9
2018-05-22,7.35,6289,1.09364694444444,269.75848
2018-05-21,5.73333333333333,6949,1.20146194444444,297.0299
2018-05-20,6.21666666666667,5812,0.983242777777778,246.84001
2018-05-19,6.51666666666667,6165,1.09442722222222,262.31995
2018-05-18,4.98333333333333,4740,0.844243055555556,195.75998
2018-05-17,8.01666666666667,7204,1.24630611111111,308.61398
2018-05-16,6.33333333333333,3882,0.700871111111111,161.00998
2018-05-15,6.73333333333333,5852,1.02654,255.12994
2018-05-14,5.91666666666667,6138,1.08367694444444,255.69002
2018-05-13,5.75,5670,1.03273583333333,233.32993
2018-05-12,4.45,9736,1.71947777777778,399.3968
2018-05-11,6.55,9335,1.5558475,394.31003
2018-05-10,9.31666666666667,18251,3.06955333333333,779.03015
2018-05-09,6.9,12867,2.11896472222222,544.5606
2018-05-08,7.15,6670,1.17397333333333,282.4201
2018-05-07,7.23333333333333,8640,1.49187611111111,368.60992
2018-05-06,7.05,4795,0.869234722222222,204.90994
2018-05-05,5.35,3323,0.603891666666667,149.50003
2018-05-04,7.41666666666667,6559,1.13168055555556,296.88995
2018-05-03,7.36666666666667,3239,0.579667222222222,139.43997
2018-05-02,4.91666666666667,5031,0.890142222222222,210.98994
2018-05-01,5.63333333333333,5381,0.966588333333333,231.22998
2018-04-30,6.1,9015,1.58021694444444,396.4797
2018-04-29,6.13333333333333,5810,1.03239388888889,255.04002
2018-04-28,6.16666666666667,7283,1.275965,312.59988
2018-04-27,6.56666666666667,6177,1.08950055555556,267.12006
2018-04-26,7.21666666666667,4568,0.813486388888889,191.65997
2018-04-25,7.36666666666667,6078,1.10201138888889,250.94997
2018-04-24,6.53333333333333,6719,1.21286222222222,278.94006
2018-04-23,7.31666666666667,5813,1.05542055555556,251.01997
2018-04-22,3.93333333333333,7602,1.34957555555556,337.99997
2018-04-21,5.63333333333333,7784,1.36786722222222,339.87994
2018-04-20,4.66666666666667,6686,1.21240472222222,290.53992
2018-04-19,5.8,4494,0.823789166666667,189.31999
2018-04-18,6.08333333333333,9601,1.65278444444444,401.68478
2018-04-17,2.63333305555556,9672,1.64851555555556,449.00732
2018-04-16,5.91666666666667,4463,0.793277222222222,192.57007
2018-04-15,7.18333333333333,5177,0.910140833333333,241.07997
2018-04-14,7.33333333333333,4976,0.821521388888889,218.08998
2018-04-13,5.48333333333333,7508,1.32898861111111,322.41006
2018-04-12,5.93333333333333,7225,1.2453925,303.5486
2018-04-11,7,7415,1.2902725,309.02206
2018-04-10,4.5,9608,1.61363944444444,425.35193
2018-04-09,6.06666666666667,6930,1.23115555555556,302.48
2018-04-08,8.15,6278,1.11809388888889,270.19992
2018-04-07,4.58333333333333,6762,1.16248305555556,290.69003
2018-04-06,3.91666666666667,8244,1.40245611111111,351.35
2018-04-05,4.73333333333333,10237,1.74196222222222,437.93613
2018-04-04,4.25,3572,0.6463425,152.28
2018-04-03,4.9,2071,0.368457222222222,89.19001
2018-04-02,6.51666666666667,8664,1.53271083333333,360.84198
2018-04-01,5.46666666666667,8154,1.36832916666667,371.91003
2018-03-31,6.9,7720,1.35515305555556,351.94992
2018-03-30,6.15,8665,1.48868027777778,377.0999
2018-03-29,3.5,4255,0.7625225,179.02995
2018-03-28,5.43333333333333,3622,0.631677222222222,157.94998
2018-03-27,8.16666666666667,10549,1.792135,451.19028
2018-03-26,7.31666666666667,3905,0.690852777777778,164.14998
2018-03-25,8.46666666666667,4613,0.8042775,286.9799
2018-03-24,5.7,9066,1.58420111111111,380.56345
2018-03-23,7.81666666666667,7113,1.24455194444444,306.56677
2018-03-22,5.5,5914,1.04800694444444,253.09003
2018-03-21,7.73333333333333,3708,0.6771025,155.57
2018-03-20,6.6,7290,1.22503166666667,314.51132
2018-03-19,8.01666666666667,6911,1.21574555555556,292.89
2018-03-18,8.28333333333333,1726,0.318454444444444,73.2
2018-03-17,7.06666666666667,10740,1.83285194444444,499.72986
2018-03-16,7.05,5445,0.962881388888889,226.92009
2018-03-15,7.43333333333333,5765,1.01791472222222,245.85995
2018-03-14,6.51666666666667,5167,0.93744,264.93
2018-03-13,7.25,2628,0.477833611111111,113.97001
2018-03-12,7.85,5457,0.986948055555556,225.88007
2018-03-11,9.56666666666667,3428,0.609323611111111,143.38004
2018-03-10,7.85,10933,1.90545472222222,459.21002
2018-03-09,8.4,6953,1.229845,301.83133
2018-03-08,6.61666666666667,4925,0.896494166666667,217.65999
2018-03-07,6.88333333333333,5687,1.01363111111111,245.33002
2018-03-06,8.28333333333333,9783,1.56978666666667,514.09204
2018-03-05,6.18333333333333,6829,1.19489555555556,300.52
2018-03-04,7.15,7477,1.34367888888889,320.10178
2018-03-03,7.36666666666667,12982,2.29656444444444,577.3321
