others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,24240000,5/15/2018,4452.1196,62693,5852,3632851,1.53E+12,fGc8wlXwq5,3695544,101,com.sec.android.app.shealth,20:36.7,240000,d9aae1bf-ea2d-4cf5-8c23-5da24fe94aeb,d9aae1bf-ea2d-4cf5-8c23-5da24fe94aeb.extra_data.json,255.12994
0,60,21300000,5/14/2018,4661.8413,27323,6138,3873914,1.53E+12,fGc8wlXwq5,3901237,106,com.sec.android.app.shealth,01:51.6,360000,2c6b0c49-11ac-48da-9faa-89c955d26b80,2c6b0c49-11ac-48da-9faa-89c955d26b80.extra_data.json,255.69002
0,60,20700000,5/13/2018,4298.3193,11600,5670,3706249,1.53E+12,fGc8wlXwq5,3717849,101,com.sec.android.app.shealth,00:01.5,180000,8f4b24f3-fb8f-4be0-b69e-ad48b6f530a8,8f4b24f3-fb8f-4be0-b69e-ad48b6f530a8.extra_data.json,233.32993
0,60,16020000,5/12/2018,7503.647,11933,9736,6178187,1.53E+12,fGc8wlXwq5,6190120,170,com.sec.android.app.shealth,00:01.3,682814,b53aa7a4-fe15-44ab-9365-35cd14648d18,b53aa7a4-fe15-44ab-9365-35cd14648d18.extra_data.json,399.3968
0,60,23580000,5/11/2018,7297.789,25200,9335,5575851,1.53E+12,fGc8wlXwq5,5601051,153,com.sec.android.app.shealth,02:34.5,1226323,dd236a82-04b4-4cdb-9a02-b88710246d0b,dd236a82-04b4-4cdb-9a02-b88710246d0b.extra_data.json,394.31003
0,60,33540000,5/10/2018,14206.848,73205,18251,10977187,1.53E+12,fGc8wlXwq5,11050392,305,com.sec.android.app.shealth,29:20.6,1200000,bad389b4-268b-46e1-af92-2a75efaffd52,bad389b4-268b-46e1-af92-2a75efaffd52.extra_data.json,779.03015
0,60,24840000,5/9/2018,10101.529,103400,12867,7524873,1.53E+12,fGc8wlXwq5,7628273,210,com.sec.android.app.shealth,55:15.5,1046161,962c6496-ccee-4be6-87cc-8255613fc120,962c6496-ccee-4be6-87cc-8255613fc120.extra_data.json,544.5606
0,60,25740000,5/8/2018,5125.019,27572,6670,4198732,1.53E+12,fGc8wlXwq5,4226304,115,com.sec.android.app.shealth,57:23.0,420000,aa4c4e53-3187-4858-b0e7-91665907cdd0,aa4c4e53-3187-4858-b0e7-91665907cdd0.extra_data.json,282.4201
0,60,26040000,5/7/2018,6447.841,72648,8640,5298106,1.53E+12,fGc8wlXwq5,5370754,148,com.sec.android.app.shealth,33:16.1,1020000,825edb87-ad25-4e13-ad77-cc420fc755e0,825edb87-ad25-4e13-ad77-cc420fc755e0.extra_data.json,368.60992
0,60,25380000,5/6/2018,3659.8704,38000,4795,3091245,1.53E+12,fGc8wlXwq5,3129245,85,com.sec.android.app.shealth,23:39.1,240000,e33dcf93-755b-41eb-bad2-4b8c5d8a1c21,e33dcf93-755b-41eb-bad2-4b8c5d8a1c21.extra_data.json,204.90994
