"date","mood","longest_idle_time","step_count","active_time","calorie","quality","total_sleep_time_hrs"
"2018-03-15",3.33333333333333,7.43333333333333,5765,1.01791472222222,245.85995,3,4
"2018-03-16",3.6,7.05,5445,0.962881388888889,226.92009,4,8
"2018-03-17",3.75,7.06666666666667,10740,1.83285194444444,499.72986,3,7.166666667
"2018-03-18",3.125,8.28333333333333,1726,0.318454444444444,73.2,5,9.333333333
"2018-03-19",3.5,8.01666666666667,6911,1.21574555555556,292.89,3,8
"2018-03-20",2.83333333333333,6.6,7290,1.22503166666667,314.51132,4,4.666666667
"2018-03-21",3.66666666666667,7.73333333333333,3708,0.6771025,155.57,4,7.5
"2018-03-22",3.33333333333333,5.5,5914,1.04800694444444,253.09003,2,7.333333333
"2018-03-24",4,5.7,9066,1.58420111111111,380.56345,4,6.166666667
"2018-03-25",3,8.46666666666667,4613,0.8042775,286.9799,4,8
"2018-03-26",3,7.31666666666667,3905,0.690852777777778,164.14998,1,7.5
"2018-03-27",4,8.16666666666667,10549,1.792135,451.19028,2,5.833333333
"2018-03-28",3.66666666666667,5.43333333333333,3622,0.631677222222222,157.94998,3,4.666666667
"2018-03-29",3.5,3.5,4255,0.7625225,179.02995,2,4.833333333
"2018-03-30",3.5,6.15,8665,1.48868027777778,377.0999,4,5.666666667
"2018-03-31",4,6.9,7720,1.35515305555556,351.94992,4,6.833333333
"2018-04-01",4,5.46666666666667,8154,1.36832916666667,371.91003,1,4.666666667
"2018-04-02",3.5,6.51666666666667,8664,1.53271083333333,360.84198,3,6.666666667
"2018-04-02",3.5,6.51666666666667,8664,1.53271083333333,360.84198,3,7.333333333
"2018-04-03",3.5,4.9,2071,0.368457222222222,89.19001,4,9.5
"2018-04-04",3,4.25,3572,0.6463425,152.28,3,4.166666667
"2018-04-06",3.5,3.91666666666667,8244,1.40245611111111,351.35,3,7.166666667
"2018-04-08",4,8.15,6278,1.11809388888889,270.19992,3,7.5
"2018-04-09",3,6.06666666666667,6930,1.23115555555556,302.48,3,6.333333333
"2018-04-10",4,4.5,9608,1.61363944444444,425.35193,1,6.333333333
"2018-04-12",3,5.93333333333333,7225,1.2453925,303.5486,4,6.166666667
"2018-04-13",3.2,5.48333333333333,7508,1.32898861111111,322.41006,3,6.5
"2018-04-14",3.33333333333333,7.33333333333333,4976,0.821521388888889,218.08998,3,7.5
"2018-04-15",4,7.18333333333333,5177,0.910140833333333,241.07997,2,9.833333333
"2018-04-16",2,5.91666666666667,4463,0.793277222222222,192.57007,1,6
"2018-04-17",3,2.63333305555556,9672,1.64851555555556,449.00732,3,5.5
"2018-04-18",4,6.08333333333333,9601,1.65278444444444,401.68478,2,6.5
"2018-04-19",3.5,5.8,4494,0.823789166666667,189.31999,2,5.333333333
"2018-04-20",3.5,4.66666666666667,6686,1.21240472222222,290.53992,3,7
"2018-04-21",3.5,5.63333333333333,7784,1.36786722222222,339.87994,3,5.333333333
"2018-04-22",4,3.93333333333333,7602,1.34957555555556,337.99997,3,6
"2018-04-23",3.5,7.31666666666667,5813,1.05542055555556,251.01997,3,6.5
"2018-04-24",3.5,6.53333333333333,6719,1.21286222222222,278.94006,4,6
"2018-04-25",4,7.36666666666667,6078,1.10201138888889,250.94997,4,7.333333333
"2018-04-26",4,7.21666666666667,4568,0.813486388888889,191.65997,4,8.333333333
"2018-04-27",3.66666666666667,6.56666666666667,6177,1.08950055555556,267.12006,4,6.333333333
"2018-04-28",4,6.16666666666667,7283,1.275965,312.59988,3,6.5
"2018-04-29",4,6.13333333333333,5810,1.03239388888889,255.04002,3,6.166666667
"2018-04-30",4,6.1,9015,1.58021694444444,396.4797,3,6.833333333
"2018-05-01",5,5.63333333333333,5381,0.966588333333333,231.22998,4,8.5
"2018-05-02",3,4.91666666666667,5031,0.890142222222222,210.98994,3,6.166666667
"2018-05-02",3,4.91666666666667,5031,0.890142222222222,210.98994,3,4.5
"2018-05-03",4,7.36666666666667,3239,0.579667222222222,139.43997,2,7.5
"2018-05-04",4,7.41666666666667,6559,1.13168055555556,296.88995,3,4
"2018-05-05",2,5.35,3323,0.603891666666667,149.50003,3,5.5
"2018-05-06",2,7.05,4795,0.869234722222222,204.90994,2,7.166666667
"2018-05-07",3,7.23333333333333,8640,1.49187611111111,368.60992,3,6.666666667
"2018-05-08",3,7.15,6670,1.17397333333333,282.4201,4,6
"2018-05-09",3,6.9,12867,2.11896472222222,544.5606,4,8.166666667
"2018-05-10",4,9.31666666666667,18251,3.06955333333333,779.03015,5,8.333333333
"2018-05-11",3.66666666666667,6.55,9335,1.5558475,394.31003,3,5.666666667
"2018-05-12",3.5,4.45,9736,1.71947777777778,399.3968,1,4.666666667
"2018-05-13",3.66666666666667,5.75,5670,1.03273583333333,233.32993,5,7.333333333
"2018-05-14",2.25,5.91666666666667,6138,1.08367694444444,255.69002,3,6.5
"2018-05-15",3.33333333333333,6.73333333333333,5852,1.02654,255.12994,3,7.166666667
"2018-05-16",4,6.33333333333333,3882,0.700871111111111,161.00998,5,7.333333333
"2018-05-17",3.66666666666667,8.01666666666667,7204,1.24630611111111,308.61398,4,8
"2018-05-18",4.33333333333333,4.98333333333333,4740,0.844243055555556,195.75998,2,7
"2018-05-19",3.66666666666667,6.51666666666667,6165,1.09442722222222,262.31995,3,6.166666667
"2018-05-20",3.33333333333333,6.21666666666667,5812,0.983242777777778,246.84001,3,6.333333333
"2018-05-21",3.66666666666667,5.73333333333333,6949,1.20146194444444,297.0299,3,5.833333333
"2018-05-22",3.33333333333333,7.35,6289,1.09364694444444,269.75848,2,7.166666667
"2018-05-23",3.66666666666667,7.1,2991,0.536199166666667,133.9,4,7.5
"2018-05-24",3.33333333333333,8.3,8842,1.47313861111111,421.96854,1,7.5
"2018-05-25",4,6.13333333333333,5578,1.00128138888889,236.23996,5,9
"2018-05-26",4,9.13333333333333,2584,0.416238055555556,118.37,2,8
"2018-05-27",4,7.56666666666667,2425,0.436995277777778,126.74999,4,9.666666667
"2018-05-28",3.66666666666667,6.76666666666667,8552,1.44160083333333,355.31006,4,6.5
"2018-05-29",4,6.06666666666667,6701,1.18838472222222,280.47995,3,6.333333333
"2018-05-30",3.66666666666667,5.66666666666667,6351,1.08633805555556,296.66992,2,4.666666667
"2018-05-31",3.66666666666667,5.5,7501,1.34573861111111,320.51996,4,7.333333333
"2018-06-01",4.33333333333333,5.5,6527,1.15554083333333,274.69992,4,9.833333333
"2018-06-02",4,4.63333333333333,6789,1.22319305555556,287.9399,3,4.833333333
"2018-06-03",3,4.28333333333333,7676,1.36498138888889,324.01987,4,6.666666667
"2018-06-04",3.66666666666667,6.46666666666667,12866,2.22044861111111,564.30804,4,6.666666667
"2018-06-05",3.33333333333333,5.6,2740,0.472298888888889,114.76999,3,6.666666667
